year,state,place,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2018,08,32155,0.002:0.013,2,0.134:0.239,2,0.022:0.026,2,0.842:0.723,2
2018,08,43000,0.004:0.013,3,0.094:0.153,3,0.046:0.051,3,0.856:0.783,3
2018,08,45970,0.002:0.010,2,0.081:0.152,2,0.041:0.037,2,0.877:0.802,2
2018,08,46465,0.001:0.003,2,0.041:0.079,2,0.023:0.021,2,0.935:0.897,2
2018,08,62000,0.012:0.018,3,0.306:0.386,3,0.029:0.033,3,0.653:0.563,3
2018,08,77290,0.020:0.023,2,0.227:0.325,2,0.060:0.073,2,0.693:0.579,2
2018,08,83835,0.007:0.021,2,0.111:0.178,2,0.042:0.049,2,0.840:0.751,2
2018,09,08000,0.255:0.313,1,0.349:0.386,1,0.071:0.079,1,0.325:0.222,1
2018,09,18430,0.015:0.043,2,0.046:0.147,2,0.065:0.069,2,0.873:0.740,2
2018,09,37000,0.392:0.373,3,0.268:0.433,3,0.051:0.052,3,0.289:0.143,3
2018,09,52000,0.228:0.331,1,0.118:0.243,1,0.075:0.092,1,0.579:0.335,1
2018,09,55990,0.029:0.087,2,0.048:0.144,2,0.087:0.066,2,0.836:0.703,2
2018,09,73000,0.020:0.085,3,0.043:0.179,3,0.111:0.106,3,0.826:0.630,3
2018,09,80000,0.145:0.168,2,0.130:0.313,2,0.077:0.051,2,0.648:0.468,2
2018,11,50000,0.255:0.424,1,0.067:0.095,1,0.069:0.070,1,0.610:0.411,1
2018,12,07300,0.011:0.023,2,0.052:0.099,2,0.012:0.046,2,0.925:0.832,2
2018,12,07875,0.108:0.163,2,0.072:0.115,2,0.033:0.030,2,0.787:0.692,2
2018,12,10275,0.041:0.045,1,0.116:0.153,1,0.018:0.020,1,0.825:0.783,1
2018,12,12875,0.029:0.107,2,0.060:0.107,2,0.028:0.037,2,0.884:0.749,2
2018,12,14400,0.136:0.176,1,0.154:0.226,1,0.059:0.063,1,0.650:0.536,1
2018,12,16475,0.046:0.045,2,0.244:0.339,2,0.080:0.091,2,0.630:0.525,2
2018,12,16725,0.072:0.164,2,0.133:0.195,2,0.027:0.032,2,0.768:0.608,2
2018,12,17200,0.070:0.072,2,0.171:0.233,2,0.017:0.026,2,0.742:0.669,2
2018,12,17935,0.019:0.021,2,0.860:0.878,2,0.048:0.031,2,0.073:0.070,2
2018,12,24000,0.101:0.249,3,0.115:0.168,3,0.031:0.036,3,0.753:0.548,3
2018,12,24125,0.038:0.117,2,0.060:0.156,2,0.063:0.054,2,0.840:0.673,2
2018,12,25175,0.113:0.198,1,0.095:0.123,1,0.056:0.084,1,0.736:0.596,1
2018,12,30000,0.015:0.031,2,0.936:0.945,2,0.008:0.005,2,0.041:0.018,2
2018,12,32000,0.098:0.173,2,0.310:0.371,2,0.043:0.045,2,0.549:0.411,2
2018,12,32275,0.061:0.148,3,0.419:0.586,3,0.021:0.017,3,0.500:0.248,3
2018,12,35000,0.126:0.293,3,0.066:0.092,3,0.082:0.065,3,0.725:0.551,3
2018,12,36950,0.104:0.093,2,0.438:0.559,2,0.070:0.046,2,0.389:0.302,2
2018,12,38250,0.090:0.150,2,0.086:0.134,2,0.028:0.028,2,0.795:0.688,2
2018,12,39425,0.011:0.055,2,0.049:0.089,2,0.026:0.041,2,0.913:0.815,2
2018,12,43975,0.050:0.083,2,0.077:0.099,2,0.034:0.038,2,0.839:0.780,2
2018,12,45000,0.080:0.118,2,0.617:0.733,2,0.017:0.014,2,0.286:0.136,2
2018,12,45025,0.030:0.045,2,0.356:0.487,2,0.014:0.032,2,0.599:0.436,2
2018,12,45060,0.590:0.553,2,0.324:0.374,2,0.021:0.024,2,0.065:0.048,2
2018,12,45975,0.284:0.347,2,0.337:0.343,2,0.098:0.071,2,0.282:0.239,2
2018,12,49675,0.004:0.018,3,0.012:0.030,3,0.013:0.012,3,0.971:0.940,3
2018,12,53000,0.096:0.227,3,0.186:0.285,3,0.066:0.059,3,0.651:0.429,3
2018,12,54000,0.147:0.141,1,0.094:0.112,1,0.045:0.048,1,0.714:0.698,1
2018,12,54200,0.069:0.088,2,0.066:0.094,2,0.041:0.027,2,0.824:0.792,2
2018,12,55775,0.112:0.174,2,0.410:0.434,2,0.096:0.073,2,0.382:0.320,2
2018,12,57425,0.163:0.226,2,0.211:0.296,2,0.075:0.074,2,0.550:0.404,2
2018,12,58050,0.067:0.189,2,0.111:0.157,2,0.085:0.041,2,0.737:0.613,2
2018,12,58715,0.148:0.162,1,0.151:0.151,1,0.020:0.037,1,0.681:0.650,1
2018,12,63000,0.067:0.163,3,0.064:0.064,3,0.042:0.053,3,0.827:0.720,3
2018,12,69700,0.154:0.217,2,0.227:0.304,2,0.077:0.075,2,0.542:0.404,2
2018,12,70600,0.174:0.363,1,0.045:0.050,1,0.057:0.063,1,0.724:0.524,1
2018,12,71000,0.073:0.227,2,0.148:0.247,2,0.051:0.054,2,0.728:0.472,2
2018,12,76600,0.103:0.271,2,0.079:0.223,2,0.048:0.036,2,0.770:0.470,2
2018,13,03440,0.195:0.271,2,0.040:0.064,2,0.009:0.058,2,0.756:0.607,2
2018,13,04000,0.158:0.462,3,0.027:0.039,3,0.048:0.065,3,0.768:0.434,3
2018,13,04204,0.408:0.566,1,0.034:0.040,1,0.025:0.048,1,0.533:0.346,1
2018,13,19000,0.309:0.482,3,0.040:0.050,3,0.054:0.040,3,0.596:0.428,3
2018,13,42425,0.041:0.085,2,0.038:0.055,2,0.245:0.275,2,0.677:0.585,2
2018,13,49008,0.309:0.531,1,0.023:0.023,1,0.031:0.028,1,0.637:0.418,1
2018,13,67284,0.055:0.116,2,0.038:0.103,2,0.069:0.094,2,0.838:0.688,2
2018,13,68516,0.042:0.141,1,0.020:0.070,1,0.104:0.103,1,0.835:0.686,1
2018,13,69000,0.240:0.425,3,0.031:0.052,3,0.031:0.058,3,0.698:0.465,3
2018,13,80508,0.189:0.312,2,0.023:0.045,2,0.016:0.054,2,0.771:0.588,2
2018,15,71550,0.001:0.009,1,0.029:0.068,1,0.767:0.704,1,0.203:0.220,1
2018,16,08830,0.001:0.006,2,0.035:0.079,2,0.035:0.042,2,0.929:0.873,2
2018,16,52120,0.010:0.008,3,0.036:0.083,3,0.052:0.056,3,0.903:0.853,3
2018,16,56260,0.014:0.015,2,0.063:0.129,2,0.056:0.051,2,0.867:0.805,2
2018,17,02154,0.007:0.015,3,0.057:0.146,3,0.103:0.134,3,0.833:0.705,3
2018,17,03012,0.040:0.074,2,0.207:0.341,2,0.097:0.073,2,0.657:0.512,2
2018,17,06613,0.035:0.075,2,0.031:0.033,2,0.059:0.063,2,0.876:0.829,2
2018,17,12385,0.050:0.123,3,0.037:0.038,3,0.094:0.121,3,0.819:0.718,3
2018,17,14000,0.120:0.293,1,0.170:0.213,1,0.095:0.092,1,0.614:0.402,1
2018,17,14351,0.033:0.106,2,0.321:0.491,2,0.054:0.033,2,0.592:0.370,2
2018,17,23074,0.023:0.057,2,0.143:0.237,2,0.088:0.086,2,0.745:0.620,2
2018,17,24582,0.044:0.076,2,0.038:0.067,2,0.158:0.198,2,0.760:0.659,2
2018,17,38570,0.068:0.160,2,0.150:0.202,2,0.037:0.038,2,0.745:0.600,2
2018,17,51622,0.047:0.077,2,0.070:0.111,2,0.159:0.147,2,0.725:0.665,2
2018,17,59000,0.049:0.162,3,0.016:0.036,3,0.045:0.055,3,0.890:0.746,3
2018,17,65000,0.078:0.177,3,0.088:0.114,3,0.036:0.039,3,0.797:0.670,3
2018,17,68003,0.012:0.045,2,0.084:0.125,2,0.198:0.212,2,0.706:0.619,2
2018,17,72000,0.022:0.124,2,0.022:0.016,2,0.030:0.030,2,0.926:0.831,2
2018,17,79293,0.065:0.175,2,0.205:0.358,2,0.055:0.087,2,0.674:0.381,2
2018,18,05860,0.014:0.032,2,0.017:0.029,2,0.040:0.088,2,0.929:0.850,2
2018,18,10342,0.017:0.054,2,0.034:0.034,2,0.062:0.081,2,0.887:0.831,2
2018,18,22000,0.020:0.093,3,0.013:0.026,3,0.006:0.023,3,0.961:0.858,3
2018,18,23278,0.028:0.047,2,0.021:0.023,2,0.076:0.067,2,0.875:0.863,2
2018,18,25000,0.061:0.138,1,0.037:0.070,1,0.032:0.058,1,0.870:0.735,1
2018,18,31000,0.092:0.253,3,0.394:0.364,3,0.041:0.008,3,0.473:0.375,3
2018,18,36003,0.133:0.280,1,0.031:0.073,1,0.032:0.053,1,0.804:0.594,1
2018,18,71000,0.078:0.215,3,0.067:0.110,3,0.020:0.033,3,0.835:0.641,3
2018,19,12000,0.012:0.057,3,0.018:0.026,3,0.014:0.021,3,0.955:0.896,3
2018,19,19000,0.014:0.063,3,0.023:0.052,3,0.025:0.033,3,0.937:0.853,3
2018,19,21000,0.029:0.091,3,0.048:0.081,3,0.055:0.073,3,0.868:0.755,3
2018,19,73335,NA:0.032,NA,0.106:0.098,2,0.033:0.053,2,0.861:0.817,2
2018,20,36000,0.216:0.228,3,0.141:0.231,3,0.059:0.070,3,0.585:0.472,3
2018,20,38900,0.022:0.040,1,0.024:0.035,1,0.061:0.083,1,0.894:0.841,1
2018,20,52575,0.027:0.039,2,0.043:0.103,2,0.044:0.049,2,0.885:0.810,2
2018,20,53775,0.020:0.039,2,0.017:0.047,2,0.058:0.082,2,0.905:0.832,2
2018,20,71000,0.028:0.105,3,0.058:0.107,3,0.025:0.042,3,0.889:0.746,3
2018,20,79000,0.043:0.081,2,0.055:0.101,2,0.056:0.062,2,0.846:0.756,2
2018,21,46027,0.041:0.143,1,0.028:0.053,1,0.043:0.046,1,0.889:0.758,1
2018,21,48006,0.093:0.187,2,0.040:0.054,2,0.034:0.047,2,0.832:0.713,2
2018,22,05000,0.189:0.463,3,0.029:0.032,3,0.019:0.034,3,0.763:0.472,3
2018,22,40735,0.092:0.206,2,0.004:0.035,2,0.059:0.029,2,0.844:0.730,2
2018,22,41155,0.176:0.361,2,0.016:0.036,2,0.017:0.020,2,0.791:0.583,2
2018,22,55000,0.321:0.553,3,0.034:0.050,3,0.029:0.048,3,0.616:0.349,3
2018,22,70000,0.202:0.459,3,0.024:0.023,3,0.024:0.026,3,0.750:0.492,3
2018,24,04000,0.365:0.574,2,0.030:0.040,2,0.056:0.053,2,0.548:0.334,2
2018,24,30325,0.112:0.101,2,0.087:0.117,2,0.056:0.054,2,0.745:0.727,2
2018,25,07000,0.146:0.204,2,0.082:0.176,2,0.091:0.116,2,0.681:0.504,2
2018,25,09000,0.322:0.348,2,0.051:0.073,2,0.052:0.081,2,0.575:0.499,2
2018,25,11000,0.051:0.069,3,0.079:0.098,3,0.052:0.175,3,0.818:0.658,3
2018,25,23000,0.024:0.037,2,0.034:0.068,2,0.035:0.044,2,0.908:0.851,2
2018,25,34550,0.015:0.028,2,0.246:0.428,2,0.041:0.032,2,0.698:0.512,2
2018,25,37000,0.051:0.089,3,0.057:0.167,3,0.139:0.188,3,0.754:0.556,3
2018,25,37490,0.058:0.084,1,0.165:0.337,1,0.037:0.045,1,0.740:0.535,1
2018,25,45000,0.003:0.037,3,0.073:0.164,3,0.039:0.101,3,0.886:0.698,3
2018,25,45560,0.017:0.021,2,0.056:0.045,2,0.150:0.149,2,0.777:0.784,2
2018,25,55745,0.041:0.067,1,0.022:0.028,1,0.166:0.229,1,0.771:0.676,1
2018,25,62535,0.072:0.060,2,0.050:0.156,2,0.145:0.099,2,0.732:0.685,2
2018,25,67000,0.141:0.173,3,0.240:0.454,3,0.039:0.037,3,0.581:0.336,3
2018,25,82000,0.074:0.093,3,0.078:0.209,3,0.081:0.097,3,0.767:0.602,3
2018,26,03000,0.021:0.054,3,0.007:0.042,3,0.106:0.165,3,0.866:0.739,3
2018,26,21000,0.006:0.044,3,0.053:0.039,3,0.033:0.057,3,0.908:0.860,3
2018,26,22000,0.603:0.781,1,0.066:0.050,1,0.047:0.039,1,0.284:0.130,1
2018,26,27440,0.307:0.423,2,0.004:0.016,2,0.087:0.107,2,0.602:0.454,2
2018,26,29000,0.510:0.561,3,0.016:0.019,3,0.016:0.031,3,0.458:0.388,3
2018,26,34000,0.085:0.163,1,0.059:0.104,1,0.026:0.054,1,0.830:0.679,1
2018,26,46000,0.108:0.181,3,0.076:0.106,3,0.040:0.068,3,0.776:0.645,3
2018,26,49000,0.070:0.182,2,0.021:0.016,2,0.066:0.043,2,0.843:0.759,2
2018,26,69035,0.017:0.041,2,0.008:0.020,2,0.206:0.174,2,0.769:0.765,2
2018,26,74900,0.307:0.423,2,0.004:0.016,2,0.087:0.107,2,0.602:0.454,2
2018,26,76460,0.013:0.034,1,0.004:0.006,1,0.089:0.085,1,0.894:0.875,1
2018,26,80700,0.016:0.038,2,0.008:0.019,2,0.207:0.176,2,0.769:0.767,2
2018,26,84000,0.038:0.170,2,0.016:0.025,2,0.074:0.054,2,0.872:0.751,2
2018,26,86000,0.081:0.235,2,0.018:0.016,2,0.043:0.031,2,0.859:0.718,2
2018,26,88940,0.012:0.073,2,0.041:0.096,2,0.044:0.048,2,0.904:0.783,2
2018,27,06616,0.018:0.056,2,0.029:0.074,2,0.043:0.085,2,0.910:0.786,2
2018,27,07966,0.098:0.218,2,0.015:0.041,2,0.149:0.114,2,0.738:0.627,2
2018,27,17000,NA:0.016,NA,0.016:0.014,3,0.026:0.048,3,0.958:0.922,3
2018,27,43000,0.030:0.161,2,0.021:0.061,2,0.043:0.088,2,0.906:0.690,2
2018,27,51730,0.021:0.050,2,0.006:0.029,2,0.129:0.119,2,0.843:0.802,2
2018,27,54880,0.005:0.062,2,0.035:0.033,2,0.064:0.071,2,0.897:0.833,2
2018,27,58000,0.047:0.155,1,0.041:0.067,1,0.116:0.160,1,0.796:0.618,1
2018,27,71428,0.013:0.028,2,0.030:0.043,2,0.086:0.095,2,0.870:0.834,2
2018,28,36000,0.457:0.722,3,0.002:0.012,3,0.028:0.018,3,0.513:0.248,3
2018,29,15670,0.015:0.094,2,0.015:0.018,2,0.077:0.097,2,0.893:0.791,2
2018,29,35000,0.070:0.138,3,0.034:0.057,3,0.026:0.037,3,0.870:0.769,3
2018,29,38000,0.106:0.276,1,0.046:0.074,1,0.030:0.043,1,0.817:0.607,1
2018,29,41348,0.039:0.057,1,0.014:0.023,1,0.037:0.039,1,0.910:0.881,1
2018,29,54074,0.022:0.030,2,0.015:0.021,2,0.031:0.035,2,0.932:0.913,2
2018,29,65000,0.297:0.424,3,0.026:0.037,3,0.035:0.059,3,0.641:0.480,3
2018,29,70000,0.018:0.024,3,0.011:0.033,3,0.042:0.049,3,0.930:0.895,3
2018,30,06550,NA,NA,0.052:0.047,1,0.059:0.081,1,0.889:0.872,1
2018,31,28000,0.006:0.044,3,0.036:0.056,3,0.018:0.047,3,0.940:0.854,3
2018,31,37000,0.031:0.115,3,0.056:0.090,3,0.044:0.054,3,0.869:0.741,3
2018,32,31900,0.026:0.054,1,0.102:0.140,1,0.146:0.125,1,0.726:0.682,1
2018,32,40000,0.055:0.119,2,0.172:0.279,2,0.122:0.107,2,0.651:0.495,2
2018,32,51800,0.151:0.207,1,0.263:0.339,1,0.122:0.098,1,0.464:0.355,1
2018,32,60600,0.005:0.024,1,0.086:0.170,1,0.058:0.095,1,0.850:0.712,1
2018,32,68400,0.014:0.016,2,0.133:0.209,2,0.055:0.078,2,0.798:0.697,2
2018,33,45140,0.023:0.048,1,0.012:0.081,1,0.064:0.047,1,0.901:0.824,1
2018,33,50260,0.004:0.014,2,0.027:0.085,2,0.075:0.066,2,0.895:0.835,2
2018,34,13690,0.019:0.043,2,0.266:0.467,2,0.066:0.056,2,0.648:0.434,2
2018,34,21000,0.132:0.150,3,0.475:0.653,3,0.032:0.051,3,0.361:0.146,3
2018,34,36000,0.172:0.208,3,0.125:0.241,3,0.345:0.282,3,0.358:0.269,3
2018,34,51000,0.422:0.503,3,0.351:0.363,3,0.044:0.044,3,0.184:0.090,3
2018,34,57000,0.258:0.300,2,0.527:0.560,2,0.106:0.047,2,0.110:0.092,2
2018,34,74000,0.344:0.467,2,0.110:0.235,2,0.037:0.025,2,0.509:0.272,2
2018,35,02000,0.019:0.031,2,0.339:0.411,2,0.054:0.074,2,0.589:0.484,2
2018,35,39380,0.021:0.057,1,0.390:0.520,1,0.037:0.054,1,0.553:0.369,1
2018,35,63460,0.008:0.020,2,0.257:0.365,2,0.190:0.111,2,0.544:0.504,2
2018,35,70500,0.003:0.010,2,0.234:0.403,2,0.034:0.050,2,0.729:0.537,2
2018,36,01000,0.102:0.270,3,0.029:0.076,3,0.096:0.085,3,0.773:0.569,3
2018,36,11000,0.186:0.356,2,0.059:0.106,2,0.080:0.068,2,0.675:0.470,2
2018,36,50617,0.108:0.300,2,0.098:0.174,2,0.076:0.069,2,0.717:0.457,2
2018,36,51000,0.129:0.214,1,0.097:0.253,1,0.183:0.154,1,0.591:0.379,1
2018,36,63000,0.224:0.364,3,0.112:0.155,3,0.055:0.051,3,0.609:0.430,3
2018,36,73000,0.205:0.291,3,0.026:0.084,3,0.043:0.076,3,0.726:0.550,3
2018,36,84000,0.092:0.171,2,0.207:0.372,2,0.074:0.055,2,0.627:0.401,2
2018,37,02140,0.041:0.078,2,0.009:0.049,2,0.019:0.020,2,0.932:0.853,2
2018,37,10740,0.029:0.091,2,0.028:0.057,2,0.145:0.115,2,0.798:0.737,2
2018,37,12000,0.126:0.325,2,0.053:0.106,2,0.073:0.081,2,0.747:0.488,2
2018,37,14100,0.112:0.174,2,0.060:0.073,2,0.083:0.047,2,0.744:0.706,2
2018,37,19000,0.244:0.352,3,0.038:0.078,3,0.063:0.081,3,0.656:0.489,3
2018,37,22920,0.325:0.430,1,0.068:0.098,1,0.081:0.063,1,0.525:0.409,1
2018,37,25580,0.063:0.208,2,0.012:0.057,2,0.040:0.029,2,0.884:0.706,2
2018,37,28000,0.143:0.362,2,0.021:0.052,2,0.058:0.073,2,0.778:0.513,2
2018,37,28080,0.155:0.355,2,0.023:0.056,2,0.039:0.030,2,0.784:0.560,2
2018,37,31400,0.144:0.288,2,0.042:0.084,2,0.052:0.063,2,0.761:0.565,2
2018,37,55000,0.100:0.243,3,0.031:0.069,3,0.059:0.072,3,0.810:0.615,3
2018,37,74440,0.023:0.165,2,0.010:0.026,2,0.024:0.043,2,0.943:0.766,2
2018,37,75000,0.137:0.328,3,0.048:0.101,3,0.043:0.033,3,0.772:0.537,3
2018,38,25700,0.016:0.057,2,0.013:0.020,2,0.021:0.050,2,0.950:0.873,2
2018,39,01000,0.115:0.276,3,0.006:0.015,3,0.037:0.054,3,0.842:0.655,3
2018,39,15000,0.172:0.396,2,0.055:0.033,2,0.044:0.055,2,0.728:0.516,2
2018,39,16000,0.287:0.471,3,0.060:0.098,3,0.076:0.055,3,0.577:0.377,3
2018,39,18000,0.089:0.245,2,0.020:0.042,2,0.059:0.076,2,0.831:0.636,2
2018,39,21000,0.204:0.366,3,0.018:0.029,3,0.022:0.051,3,0.756:0.554,3
2018,39,61000,0.021:0.061,3,0.023:0.049,3,0.038:0.045,3,0.919:0.846,3
2018,39,77000,0.126:0.292,3,0.058:0.062,3,0.023:0.023,3,0.793:0.623,3
2018,40,09050,0.034:0.066,2,0.050:0.110,2,0.127:0.130,2,0.789:0.694,2
2018,40,23200,0.035:0.119,2,0.016:0.049,2,0.077:0.117,2,0.872:0.715,2
2018,40,41850,0.083:0.141,1,0.151:0.138,1,0.082:0.135,1,0.683:0.586,1
2018,40,52500,0.039:0.045,2,0.053:0.049,2,0.089:0.112,2,0.819:0.794,2
2018,40,55000,0.058:0.130,3,0.055:0.132,3,0.081:0.105,3,0.807:0.633,3
2018,40,75000,0.030:0.109,3,0.042:0.087,3,0.109:0.123,3,0.819:0.680,3
2018,41,05350,0.025:0.024,2,0.033:0.135,2,0.193:0.157,2,0.749:0.684,2
2018,41,05800,NA:0.003,NA,0.020:0.049,2,0.036:0.031,2,0.944:0.916,2
2018,41,23850,0.011:0.012,2,0.048:0.072,2,0.048:0.079,2,0.893:0.837,2
2018,41,31250,0.045:0.036,2,0.039:0.138,2,0.099:0.088,2,0.818:0.738,2
2018,41,34100,0.011:0.023,1,0.055:0.131,1,0.153:0.170,1,0.782:0.676,1
2018,41,47000,NA:0.006,NA,0.078:0.106,2,0.060:0.068,2,0.862:0.821,2
2018,41,59000,0.020:0.050,2,0.060:0.073,2,0.092:0.103,2,0.828:0.774,2
2018,41,64900,0.012:0.015,2,0.089:0.158,2,0.042:0.067,2,0.858:0.760,2
2018,42,02000,0.030:0.083,3,0.277:0.464,3,0.040:0.055,3,0.653:0.398,3
2018,42,06088,0.041:0.060,2,0.072:0.177,2,0.054:0.045,2,0.834:0.717,2
2018,42,24000,0.048:0.131,3,0.003:0.051,3,0.008:0.039,3,0.941:0.780,3
2018,42,60000,0.248:0.405,1,0.069:0.112,1,0.125:0.090,1,0.558:0.392,1
2018,42,61000,0.095:0.218,2,0.006:0.022,2,0.069:0.081,2,0.830:0.680,2
2018,42,63624,0.033:0.062,2,0.130:0.383,2,0.009:0.032,2,0.829:0.523,2
2018,42,69000,0.061:0.034,3,0.022:0.106,3,0.023:0.068,3,0.894:0.792,3
2018,44,19180,0.036:0.058,2,0.040:0.084,2,0.045:0.071,2,0.878:0.787,2
2018,44,54640,0.061:0.080,2,0.148:0.202,2,0.037:0.054,2,0.754:0.664,2
2018,44,59000,0.088:0.134,3,0.178:0.373,3,0.048:0.089,3,0.687:0.403,3
2018,44,74300,0.004:0.011,2,0.015:0.035,2,0.033:0.033,2,0.947:0.920,2
2018,45,13330,0.115:0.206,2,0.021:0.025,2,0.021:0.027,2,0.842:0.742,2
2018,45,16000,0.228:0.456,3,0.026:0.023,3,0.047:0.048,3,0.699:0.473,3
2018,45,48535,0.093:0.183,2,0.017:0.025,2,0.014:0.015,2,0.876:0.777,2
2018,45,50875,0.179:0.326,2,0.043:0.087,2,0.067:0.057,2,0.712:0.529,2
2018,46,59020,0.026:0.079,1,0.030:0.045,1,0.010:0.035,1,0.934:0.841,1
2018,47,14000,0.106:0.270,3,0.017:0.042,3,0.025:0.030,3,0.852:0.658,3
2018,47,15160,0.112:0.165,2,0.081:0.094,2,0.117:0.061,2,0.690:0.680,2
2018,47,27740,0.027:0.044,3,0.026:0.036,3,0.050:0.057,3,0.897:0.864,3
2018,47,40000,0.054:0.164,3,0.017:0.039,3,0.026:0.049,3,0.903:0.748,3
2018,47,48000,0.289:0.609,2,0.026:0.049,2,0.031:0.028,2,0.654:0.314,2
2018,47,51560,0.088:0.171,2,0.015:0.046,2,0.044:0.057,2,0.853:0.726,2
2018,47,52006,0.134:0.258,1,0.030:0.075,1,0.038:0.054,1,0.798:0.614,1
2018,48,01000,0.041:0.075,3,0.108:0.198,3,0.034:0.048,3,0.816:0.679,3
2018,48,01924,0.082:0.103,2,0.050:0.080,2,0.256:0.183,2,0.612:0.635,2
2018,48,03000,0.022:0.061,3,0.144:0.267,3,0.065:0.046,3,0.769:0.627,3
2018,48,04000,0.140:0.251,3,0.159:0.228,3,0.102:0.087,3,0.599:0.433,3
2018,48,05000,0.029:0.074,2,0.125:0.252,2,0.083:0.093,2,0.763:0.581,2
2018,48,06128,0.142:0.204,2,0.289:0.376,2,0.040:0.031,2,0.530:0.389,2
2018,48,07000,0.257:0.467,3,0.105:0.123,3,0.100:0.033,3,0.538:0.377,3
2018,48,10768,0.006:0.008,1,0.811:0.894,1,0.002:0.005,1,0.182:0.093,1
2018,48,10912,0.042:0.100,2,0.125:0.212,2,0.067:0.081,2,0.766:0.606,2
2018,48,13024,0.051:0.156,2,0.126:0.193,2,0.216:0.171,2,0.607:0.479,2
2018,48,13552,0.023:0.040,3,0.126:0.179,3,0.102:0.094,3,0.749:0.687,3
2018,48,15976,0.042:0.100,2,0.125:0.212,2,0.067:0.081,2,0.766:0.606,2
2018,48,16432,0.019:0.038,3,0.149:0.216,3,0.034:0.040,3,0.799:0.706,3
2018,48,17000,0.014:0.045,2,0.442:0.597,2,0.048:0.035,2,0.496:0.322,2
2018,48,19000,0.070:0.247,2,0.135:0.294,2,0.063:0.061,2,0.732:0.398,2
2018,48,19972,0.066:0.105,2,0.086:0.120,2,0.053:0.070,2,0.795:0.705,2
2018,48,22660,0.000:0.005,2,0.828:0.880,2,0.055:0.035,2,0.117:0.080,2
2018,48,24000,0.033:0.031,2,0.733:0.788,2,0.024:0.029,2,0.210:0.152,2
2018,48,26232,0.017:0.026,2,0.089:0.103,2,0.097:0.096,2,0.797:0.775,2
2018,48,27000,0.070:0.167,2,0.174:0.257,2,0.060:0.055,2,0.696:0.521,2
2018,48,27684,0.088:0.104,2,0.073:0.116,2,0.223:0.176,2,0.616:0.604,2
2018,48,29000,0.087:0.174,3,0.191:0.278,3,0.152:0.116,3,0.570:0.432,3
2018,48,30464,0.206:0.223,2,0.299:0.407,2,0.087:0.071,2,0.408:0.299,2
2018,48,35000,0.077:0.231,2,0.188:0.366,2,0.116:0.095,2,0.619:0.308,2
2018,48,37000,0.049:0.178,3,0.183:0.343,3,0.212:0.179,3,0.557:0.300,3
2018,48,39148,0.309:0.339,1,0.177:0.202,1,0.070:0.085,1,0.444:0.374,1
2018,48,41464,NA:0.003,NA,0.912:0.937,1,0.002:0.009,1,0.085:0.051,1
2018,48,41980,0.050:0.082,2,0.126:0.166,2,0.087:0.059,2,0.737:0.693,2
2018,48,42508,0.088:0.160,1,0.164:0.226,1,0.148:0.114,1,0.600:0.499,1
2018,48,43888,0.110:0.212,2,0.083:0.115,2,0.057:0.035,2,0.750:0.638,2
2018,48,45000,0.026:0.057,3,0.179:0.317,3,0.049:0.040,3,0.747:0.586,3
2018,48,45384,0.003:0.008,1,0.786:0.869,1,0.054:0.034,1,0.157:0.089,1
2018,48,45744,0.062:0.113,1,0.068:0.113,1,0.131:0.083,1,0.739:0.691,1
2018,48,47892,0.140:0.254,2,0.290:0.358,2,0.083:0.053,2,0.487:0.335,2
2018,48,48072,0.029:0.067,1,0.208:0.364,1,0.036:0.028,1,0.727:0.542,1
2018,48,48768,0.000:0.000,2,0.834:0.871,2,0.021:0.010,2,0.145:0.119,2
2018,48,50820,0.043:0.031,2,0.178:0.243,2,0.020:0.022,2,0.758:0.704,2
2018,48,53388,0.020:0.061,2,0.456:0.522,2,0.043:0.027,2,0.480:0.390,2
2018,48,56000,0.006:0.031,3,0.363:0.556,3,0.062:0.041,3,0.570:0.371,3
2018,48,56348,0.230:0.216,2,0.133:0.215,2,0.188:0.108,2,0.449:0.460,2
2018,48,57200,NA:0.003,NA,0.929:0.936,2,0.003:0.004,2,0.068:0.058,2
2018,48,58016,0.022:0.084,1,0.075:0.118,1,0.241:0.231,1,0.663:0.567,1
2018,48,61796,0.043:0.118,2,0.055:0.189,2,0.098:0.126,2,0.804:0.568,2
2018,48,63500,0.044:0.091,2,0.152:0.198,2,0.139:0.112,2,0.665:0.599,2
2018,48,64472,0.023:0.032,1,0.177:0.359,1,0.009:0.012,1,0.790:0.596,1
2018,48,65000,0.045:0.079,2,0.427:0.560,2,0.046:0.045,2,0.481:0.315,2
2018,48,70808,0.053:0.129,2,0.096:0.149,2,0.451:0.297,2,0.400:0.425,2
2018,48,72176,0.071:0.115,2,0.144:0.224,2,0.025:0.033,2,0.760:0.627,2
2018,48,74144,0.072:0.217,1,0.078:0.166,1,0.030:0.033,1,0.820:0.584,1
2018,48,76000,0.116:0.208,1,0.149:0.259,1,0.016:0.029,1,0.718:0.503,1
2018,48,79000,0.035:0.088,3,0.128:0.158,3,0.041:0.043,3,0.795:0.711,3
